venta_id;fecha;producto_id;cliente_id;tienda_id;vendedor_id;cantidad;precio_unitario_x;costo_unitario_x;descuento_porcentaje;venta_neta;costo_total;utilidad;producto;categoria;costo_unitario_y;precio_unitario_y;cliente;ciudad_cliente;segmento;tienda;ciudad_tienda;region;vendedor;tienda_id_vendedor;anio;mes;nombre_mes;periodo
12;2023-02-28;9;255;2;2;4;316.86;233;15;1077.32;932;145.32;Silla;Hogar;233;316.86;Diego Flores;Cusco;Frecuente;Tienda Lima Norte;Lima;Lima;Miguel Torres;2;2023;2;February;2023-02
13;2023-07-25;12;19;5;5;3;181.86;114;0;545.58;342;203.58;Casaca;Moda;114;181.86;María Castro;Trujillo;Nuevo;Tienda Cusco Plaza;Cusco;Cusco;Gabriela Rojas;5;2023;7;July;2023-07
14;2023-05-26;17;243;2;12;5;439.51;310;10;1977.8;1550;427.8;Pelota;Deportes;310;439.51;Jorge Rojas;Cusco;Nuevo;Tienda Lima Norte;Lima;Lima;Rosa Ramírez;2;2023;5;May;2023-05
15;2023-05-31;20;113;4;9;1;479.99;293;10;431.99;293;138.99;Tomatodo;Deportes;293;479.99;Jorge Flores;Cusco;Nuevo;Tienda Trujillo Real;Trujillo;La Libertad;Renato Ramírez;4;2023;5;May;2023-05
16;2023-07-05;6;268;4;4;2;125.45;96;0;250.9;192;58.9;Parlante;Tecnología;96;125.45;Luis Quispe;Trujillo;Nuevo;Tienda Trujillo Real;Trujillo;La Libertad;Fernando Mendoza;4;2023;7;July;2023-07
17;2023-01-30;18;448;5;10;5;377.84;282;0;1889.2;1410;479.2;Mancuernas;Deportes;282;377.84;Ana Quispe;Trujillo;Nuevo;Tienda Cusco Plaza;Cusco;Cusco;Renato Castro;5;2023;1;January;2023-01
18;2025-02-28;24;28;2;2;1;405.54;306;15;344.71;306;38.71;Shampoo;Belleza;306;405.54;Ana Quispe;Lima;Frecuente;Tienda Lima Norte;Lima;Lima;Miguel Torres;2;2025;2;February;2025-02
19;2024-10-16;20;217;5;5;4;479.99;293;5;1823.96;1172;651.96;Tomatodo;Deportes;293;479.99;Ana Quispe;Arequipa;Frecuente;Tienda Cusco Plaza;Cusco;Cusco;Gabriela Rojas;5;2024;10;October;2024-10
20;2023-11-02;22;38;4;9;3;96.8;77;0;290.4;231;59.4;Perfume;Belleza;77;96.8;Ana Rojas;Huancayo;Premium;Tienda Trujillo Real;Trujillo;La Libertad;Renato Ramírez;4;2023;11;November;2023-11
21;2023-06-01;9;179;3;3;2;316.86;233;0;633.72;466;167.72;Silla;Hogar;233;316.86;Valeria García;Cusco;Premium;Tienda Arequipa Mall;Arequipa;Arequipa;José Mendoza;3;2023;6;June;2023-06
22;2023-10-22;1;220;2;12;3;242.37;174;5;690.75;522;168.75;Audífonos;Tecnología;174;242.37;María Rojas;Arequipa;Nuevo;Tienda Lima Norte;Lima;Lima;Rosa Ramírez;2;2023;10;October;2023-10
23;2024-11-11;1;481;4;4;5;242.37;174;10;1090.66;870;220.66;Audífonos;Tecnología;174;242.37;Lucía Rojas;Cusco;Nuevo;Tienda Trujillo Real;Trujillo;La Libertad;Fernando Mendoza;4;2024;11;November;2024-11
24;2023-02-15;18;37;4;4;1;377.84;282;0;377.84;282;95.84;Mancuernas;Deportes;282;377.84;Diego Torres;Cusco;Nuevo;Tienda Trujillo Real;Trujillo;La Libertad;Fernando Mendoza;4;2023;2;February;2023-02
25;2023-01-14;8;111;4;9;4;919.26;614;0;3677.04;2456;1221.04;Organizador;Hogar;614;919.26;María Quispe;Cusco;Nuevo;Tienda Trujillo Real;Trujillo;La Libertad;Renato Ramírez;4;2023;1;January;2023-01
26;2025-04-01;23;473;4;4;3;1081.01;680;5;3080.88;2040;1040.88;Crema facial;Belleza;680;1081.01;Luis Flores;Lima;Nuevo;Tienda Trujillo Real;Trujillo;La Libertad;Fernando Mendoza;4;2025;4;April;2025-04
27;2025-01-23;3;28;2;7;5;212.75;123;15;904.19;615;289.19;Teclado;Tecnología;123;212.75;Ana Quispe;Lima;Frecuente;Tienda Lima Norte;Lima;Lima;Renato Mendoza;2;2025;1;January;2025-01
28;2025-08-11;15;289;1;1;5;74.85;55;0;374.25;275;99.25;Zapatillas;Moda;55;74.85;Camila Mendoza;Lima;Premium;Tienda Huancayo Centro;Huancayo;Junín;José Torres;1;2025;8;August;2025-08
29;2024-02-06;2;288;4;4;3;1150.48;670;15;2933.72;2010;923.72;Mouse;Tecnología;670;1150.48;Alex Torres;Lima;Nuevo;Tienda Trujillo Real;Trujillo;La Libertad;Fernando Mendoza;4;2024;2;February;2024-02
30;2023-01-09;4;267;1;6;3;1059.28;606;0;3177.84;1818;1359.84;Monitor;Tecnología;606;1059.28;Luis Flores;Cusco;Nuevo;Tienda Huancayo Centro;Huancayo;Junín;Patricia Torres;1;2023;1;January;2023-01
31;2025-07-05;19;213;5;10;3;244.74;140;10;660.8;420;240.8;Mat yoga;Deportes;140;244.74;María Flores;Lima;Premium;Tienda Cusco Plaza;Cusco;Cusco;Renato Castro;5;2025;7;July;2025-07
32;2023-12-10;24;111;5;5;5;405.54;306;0;2027.7;1530;497.7;Shampoo;Belleza;306;405.54;María Quispe;Cusco;Nuevo;Tienda Cusco Plaza;Cusco;Cusco;Gabriela Rojas;5;2023;12;December;2023-12
33;2025-02-27;16;13;2;2;4;142.24;105;0;568.96;420;148.96;Mochila;Moda;105;142.24;Jorge Quispe;Lima;Nuevo;Tienda Lima Norte;Lima;Lima;Miguel Torres;2;2025;2;February;2025-02
34;2023-01-10;3;335;3;3;5;212.75;123;15;904.19;615;289.19;Teclado;Tecnología;123;212.75;Valeria Mendoza;Huancayo;Nuevo;Tienda Arequipa Mall;Arequipa;Arequipa;José Mendoza;3;2023;1;January;2023-01
35;2024-12-14;5;443;3;13;1;69.39;47;0;69.39;47;22.39;Smartwatch;Tecnología;47;69.39;Carlos Quispe;Huancayo;Premium;Tienda Arequipa Mall;Arequipa;Arequipa;Andrea Ramírez;3;2024;12;December;2024-12
36;2024-10-10;26;6;1;6;2;835.82;478;0;1671.64;956;715.64;Set maquillaje;Belleza;478;835.82;María Ramírez;Huancayo;Premium;Tienda Huancayo Centro;Huancayo;Junín;Patricia Torres;1;2024;10;October;2024-10
37;2023-11-15;1;193;1;6;4;242.37;174;0;969.48;696;273.48;Audífonos;Tecnología;174;242.37;Luis Mendoza;Arequipa;Frecuente;Tienda Huancayo Centro;Huancayo;Junín;Patricia Torres;1;2023;11;November;2023-11
38;2024-04-19;21;225;3;13;1;382.02;244;0;382.02;244;138.02;Bicicleta estática;Deportes;244;382.02;Carlos Mendoza;Huancayo;Nuevo;Tienda Arequipa Mall;Arequipa;Arequipa;Andrea Ramírez;3;2024;4;April;2024-04
39;2024-10-26;5;50;3;13;1;69.39;47;10;62.45;47;15.45;Smartwatch;Tecnología;47;69.39;Ana Mendoza;Lima;Premium;Tienda Arequipa Mall;Arequipa;Arequipa;Andrea Ramírez;3;2024;10;October;2024-10
40;2023-03-06;16;361;2;7;1;142.24;105;0;142.24;105;37.24;Mochila;Moda;105;142.24;Carlos Torres;Trujillo;Frecuente;Tienda Lima Norte;Lima;Lima;Renato Mendoza;2;2023;3;March;2023-03
41;2023-04-01;2;16;4;9;5;1150.48;670;0;5752.4;3350;2402.4;Mouse;Tecnología;670;1150.48;María Torres;Lima;Nuevo;Tienda Trujillo Real;Trujillo;La Libertad;Renato Ramírez;4;2023;4;April;2023-04
42;2023-05-20;2;171;2;12;3;1150.48;670;5;3278.87;2010;1268.87;Mouse;Tecnología;670;1150.48;Luis Ramírez;Trujillo;Frecuente;Tienda Lima Norte;Lima;Lima;Rosa Ramírez;2;2023;5;May;2023-05
43;2023-10-19;16;171;4;14;1;142.24;105;10;128.02;105;23.02;Mochila;Moda;105;142.24;Luis Ramírez;Trujillo;Frecuente;Tienda Trujillo Real;Trujillo;La Libertad;Rosa Flores;4;2023;10;October;2023-10
44;2024-09-26;17;201;3;3;2;439.51;310;5;835.07;620;215.07;Pelota;Deportes;310;439.51;María Ramírez;Trujillo;Nuevo;Tienda Arequipa Mall;Arequipa;Arequipa;José Mendoza;3;2024;9;September;2024-09
45;2025-04-10;14;309;4;9;4;361.58;231;15;1229.37;924;305.37;Jean;Moda;231;361.58;Lucía Ramírez;Trujillo;Premium;Tienda Trujillo Real;Trujillo;La Libertad;Renato Ramírez;4;2025;4;April;2025-04
46;2023-05-14;17;148;4;9;5;439.51;310;5;2087.67;1550;537.67;Pelota;Deportes;310;439.51;Valeria Flores;Arequipa;Nuevo;Tienda Trujillo Real;Trujillo;La Libertad;Renato Ramírez;4;2023;5;May;2023-05
47;2024-04-26;10;405;3;13;5;1154.83;660;0;5774.15;3300;2474.15;Mesa auxiliar;Hogar;660;1154.83;Jorge Ramírez;Arequipa;Premium;Tienda Arequipa Mall;Arequipa;Arequipa;Andrea Ramírez;3;2024;4;April;2024-04
48;2023-09-06;17;13;4;14;4;439.51;310;10;1582.24;1240;342.24;Pelota;Deportes;310;439.51;Jorge Quispe;Lima;Nuevo;Tienda Trujillo Real;Trujillo;La Libertad;Rosa Flores;4;2023;9;September;2023-09
49;2024-04-05;26;150;4;4;3;835.82;478;0;2507.46;1434;1073.46;Set maquillaje;Belleza;478;835.82;Diego Flores;Trujillo;Frecuente;Tienda Trujillo Real;Trujillo;La Libertad;Fernando Mendoza;4;2024;4;April;2024-04
50;2024-09-08;24;484;3;3;3;405.54;306;15;1034.13;918;116.13;Shampoo;Belleza;306;405.54;Carlos Ramírez;Cusco;Premium;Tienda Arequipa Mall;Arequipa;Arequipa;José Mendoza;3;2024;9;September;2024-09
51;2023-08-11;20;418;3;3;5;479.99;293;0;2399.95;1465;934.95;Tomatodo;Deportes;293;479.99;Alex Quispe;Lima;Nuevo;Tienda Arequipa Mall;Arequipa;Arequipa;José Mendoza;3;2023;8;August;2023-08
52;2023-07-15;3;490;5;10;1;212.75;123;15;180.84;123;57.84;Teclado;Tecnología;123;212.75;Diego Rojas;Huancayo;Frecuente;Tienda Cusco Plaza;Cusco;Cusco;Renato Castro;5;2023;7;July;2023-07
53;2025-11-01;20;222;4;4;2;479.99;293;5;911.98;586;325.98;Tomatodo;Deportes;293;479.99;Carlos Ramírez;Lima;Nuevo;Tienda Trujillo Real;Trujillo;La Libertad;Fernando Mendoza;4;2025;11;November;2025-11
54;2023-03-17;19;424;2;12;4;244.74;140;0;978.96;560;418.96;Mat yoga;Deportes;140;244.74;Ana Flores;Cusco;Frecuente;Tienda Lima Norte;Lima;Lima;Rosa Ramírez;2;2023;3;March;2023-03
55;2024-11-16;2;439;3;3;2;1150.48;670;0;2300.96;1340;960.96;Mouse;Tecnología;670;1150.48;Ana García;Trujillo;Premium;Tienda Arequipa Mall;Arequipa;Arequipa;José Mendoza;3;2024;11;November;2024-11
56;2024-04-06;5;167;5;15;5;69.39;47;0;346.95;235;111.95;Smartwatch;Tecnología;47;69.39;Valeria Flores;Trujillo;Frecuente;Tienda Cusco Plaza;Cusco;Cusco;Rosa Quispe;5;2024;4;April;2024-04
57;2025-03-11;1;244;1;11;1;242.37;174;15;206.01;174;32.01;Audífonos;Tecnología;174;242.37;Lucía Mendoza;Trujillo;Premium;Tienda Huancayo Centro;Huancayo;Junín;José Rojas;1;2025;3;March;2025-03
58;2025-11-26;8;171;2;12;5;919.26;614;5;4366.48;3070;1296.48;Organizador;Hogar;614;919.26;Luis Ramírez;Trujillo;Frecuente;Tienda Lima Norte;Lima;Lima;Rosa Ramírez;2;2025;11;November;2025-11
59;2025-08-03;18;121;4;4;4;377.84;282;0;1511.36;1128;383.36;Mancuernas;Deportes;282;377.84;Lucía Quispe;Arequipa;Premium;Tienda Trujillo Real;Trujillo;La Libertad;Fernando Mendoza;4;2025;8;August;2025-08
60;2024-10-13;10;286;5;10;5;1154.83;660;0;5774.15;3300;2474.15;Mesa auxiliar;Hogar;660;1154.83;Camila Castro;Trujillo;Frecuente;Tienda Cusco Plaza;Cusco;Cusco;Renato Castro;5;2024;10;October;2024-10
61;2023-10-27;20;75;5;5;3;479.99;293;0;1439.97;879;560.97;Tomatodo;Deportes;293;479.99;Carlos Torres;Huancayo;Nuevo;Tienda Cusco Plaza;Cusco;Cusco;Gabriela Rojas;5;2023;10;October;2023-10
62;2025-02-16;10;166;2;12;1;1154.83;660;5;1097.09;660;437.09;Mesa auxiliar;Hogar;660;1154.83;Camila Quispe;Cusco;Frecuente;Tienda Lima Norte;Lima;Lima;Rosa Ramírez;2;2025;2;February;2025-02
63;2025-07-14;14;300;3;3;2;361.58;231;0;723.16;462;261.16;Jean;Moda;231;361.58;Camila Flores;Arequipa;Nuevo;Tienda Arequipa Mall;Arequipa;Arequipa;José Mendoza;3;2025;7;July;2025-07
64;2023-04-18;12;163;3;13;5;181.86;114;10;818.37;570;248.37;Casaca;Moda;114;181.86;Valeria Flores;Trujillo;Frecuente;Tienda Arequipa Mall;Arequipa;Arequipa;Andrea Ramírez;3;2023;4;April;2023-04
65;2024-05-11;8;439;1;11;4;919.26;614;15;3125.48;2456;669.48;Organizador;Hogar;614;919.26;Ana García;Trujillo;Premium;Tienda Huancayo Centro;Huancayo;Junín;José Rojas;1;2024;5;May;2024-05
66;2024-10-07;14;389;1;1;5;361.58;231;15;1536.71;1155;381.71;Jean;Moda;231;361.58;Lucía Castro;Huancayo;Premium;Tienda Huancayo Centro;Huancayo;Junín;José Torres;1;2024;10;October;2024-10
67;2023-07-27;7;35;3;3;3;522.78;346;0;1568.34;1038;530.34;Lámpara;Hogar;346;522.78;María Castro;Arequipa;Nuevo;Tienda Arequipa Mall;Arequipa;Arequipa;José Mendoza;3;2023;7;July;2023-07
68;2023-10-20;13;392;1;6;4;770.23;523;10;2772.83;2092;680.83;Polo;Moda;523;770.23;Alex Ramírez;Trujillo;Nuevo;Tienda Huancayo Centro;Huancayo;Junín;Patricia Torres;1;2023;10;October;2023-10
69;2023-04-23;2;231;4;9;3;1150.48;670;0;3451.44;2010;1441.44;Mouse;Tecnología;670;1150.48;Camila Castro;Lima;Premium;Tienda Trujillo Real;Trujillo;La Libertad;Renato Ramírez;4;2023;4;April;2023-04
70;2024-04-18;9;132;4;9;1;316.86;233;0;316.86;233;83.86;Silla;Hogar;233;316.86;Lucía Mendoza;Huancayo;Nuevo;Tienda Trujillo Real;Trujillo;La Libertad;Renato Ramírez;4;2024;4;April;2024-04
71;2023-06-26;2;147;4;4;4;1150.48;670;15;3911.63;2680;1231.63;Mouse;Tecnología;670;1150.48;Valeria Flores;Cusco;Nuevo;Tienda Trujillo Real;Trujillo;La Libertad;Fernando Mendoza;4;2023;6;June;2023-06
72;2025-03-31;23;246;4;9;3;1081.01;680;0;3243.03;2040;1203.03;Crema facial;Belleza;680;1081.01;Alex Ramírez;Trujillo;Premium;Tienda Trujillo Real;Trujillo;La Libertad;Renato Ramírez;4;2025;3;March;2025-03
73;2025-08-12;21;382;4;14;2;382.02;244;0;764.04;488;276.04;Bicicleta estática;Deportes;244;382.02;Carlos Castro;Huancayo;Nuevo;Tienda Trujillo Real;Trujillo;La Libertad;Rosa Flores;4;2025;8;August;2025-08
74;2023-04-04;3;315;5;15;4;212.75;123;0;851.0;492;359.0;Teclado;Tecnología;123;212.75;Valeria Mendoza;Arequipa;Nuevo;Tienda Cusco Plaza;Cusco;Cusco;Rosa Quispe;5;2023;4;April;2023-04
75;2023-12-15;10;100;5;10;2;1154.83;660;10;2078.69;1320;758.69;Mesa auxiliar;Hogar;660;1154.83;Alex Ramírez;Huancayo;Frecuente;Tienda Cusco Plaza;Cusco;Cusco;Renato Castro;5;2023;12;December;2023-12
76;2025-01-28;7;53;1;11;4;522.78;346;15;1777.45;1384;393.45;Lámpara;Hogar;346;522.78;Alex Flores;Lima;Frecuente;Tienda Huancayo Centro;Huancayo;Junín;José Rojas;1;2025;1;January;2025-01
77;2025-01-22;11;338;1;11;1;519.38;363;10;467.44;363;104.44;Juego de sábanas;Hogar;363;519.38;María Castro;Lima;Frecuente;Tienda Huancayo Centro;Huancayo;Junín;José Rojas;1;2025;1;January;2025-01
78;2023-08-04;7;460;4;9;1;522.78;346;0;522.78;346;176.78;Lámpara;Hogar;346;522.78;Lucía Torres;Lima;Frecuente;Tienda Trujillo Real;Trujillo;La Libertad;Renato Ramírez;4;2023;8;August;2023-08
79;2023-10-13;15;221;1;1;1;74.85;55;0;74.85;55;19.85;Zapatillas;Moda;55;74.85;Valeria Ramírez;Trujillo;Premium;Tienda Huancayo Centro;Huancayo;Junín;José Torres;1;2023;10;October;2023-10
80;2025-07-20;6;149;2;7;2;125.45;96;15;213.26;192;21.26;Parlante;Tecnología;96;125.45;Alex Castro;Lima;Nuevo;Tienda Lima Norte;Lima;Lima;Renato Mendoza;2;2025;7;July;2025-07
81;2025-12-22;2;249;2;12;3;1150.48;670;5;3278.87;2010;1268.87;Mouse;Tecnología;670;1150.48;Carlos Ramírez;Arequipa;Nuevo;Tienda Lima Norte;Lima;Lima;Rosa Ramírez;2;2025;12;December;2025-12
82;2023-12-03;15;283;4;14;4;74.85;55;0;299.4;220;79.4;Zapatillas;Moda;55;74.85;Ana Flores;Lima;Premium;Tienda Trujillo Real;Trujillo;La Libertad;Rosa Flores;4;2023;12;December;2023-12
83;2024-05-26;16;249;5;5;4;142.24;105;10;512.06;420;92.06;Mochila;Moda;105;142.24;Carlos Ramírez;Arequipa;Nuevo;Tienda Cusco Plaza;Cusco;Cusco;Gabriela Rojas;5;2024;5;May;2024-05
84;2023-12-17;2;11;1;1;1;1150.48;670;5;1092.96;670;422.96;Mouse;Tecnología;670;1150.48;Carlos Flores;Arequipa;Premium;Tienda Huancayo Centro;Huancayo;Junín;José Torres;1;2023;12;December;2023-12
85;2023-09-06;21;35;3;13;4;382.02;244;0;1528.08;976;552.08;Bicicleta estática;Deportes;244;382.02;María Castro;Arequipa;Nuevo;Tienda Arequipa Mall;Arequipa;Arequipa;Andrea Ramírez;3;2023;9;September;2023-09
86;2025-06-21;7;461;2;12;2;522.78;346;0;1045.56;692;353.56;Lámpara;Hogar;346;522.78;María García;Cusco;Nuevo;Tienda Lima Norte;Lima;Lima;Rosa Ramírez;2;2025;6;June;2025-06
87;2024-03-08;4;103;1;1;1;1059.28;606;0;1059.28;606;453.28;Monitor;Tecnología;606;1059.28;Alex Quispe;Huancayo;Nuevo;Tienda Huancayo Centro;Huancayo;Junín;José Torres;1;2024;3;March;2024-03
88;2025-01-16;5;37;2;7;1;69.39;47;0;69.39;47;22.39;Smartwatch;Tecnología;47;69.39;Diego Torres;Cusco;Nuevo;Tienda Lima Norte;Lima;Lima;Renato Mendoza;2;2025;1;January;2025-01
89;2024-08-27;19;9;3;13;5;244.74;140;0;1223.7;700;523.7;Mat yoga;Deportes;140;244.74;Jorge García;Huancayo;Nuevo;Tienda Arequipa Mall;Arequipa;Arequipa;Andrea Ramírez;3;2024;8;August;2024-08
90;2023-01-28;24;38;3;3;3;405.54;306;0;1216.62;918;298.62;Shampoo;Belleza;306;405.54;Ana Rojas;Huancayo;Premium;Tienda Arequipa Mall;Arequipa;Arequipa;José Mendoza;3;2023;1;January;2023-01
91;2024-03-12;11;357;5;5;1;519.38;363;10;467.44;363;104.44;Juego de sábanas;Hogar;363;519.38;Jorge Torres;Trujillo;Frecuente;Tienda Cusco Plaza;Cusco;Cusco;Gabriela Rojas;5;2024;3;March;2024-03
92;2023-08-15;8;395;3;8;2;919.26;614;0;1838.52;1228;610.52;Organizador;Hogar;614;919.26;Alex Rojas;Lima;Nuevo;Tienda Arequipa Mall;Arequipa;Arequipa;José García;3;2023;8;August;2023-08
93;2025-02-16;3;250;5;10;4;212.75;123;0;851.0;492;359.0;Teclado;Tecnología;123;212.75;Alex Quispe;Lima;Premium;Tienda Cusco Plaza;Cusco;Cusco;Renato Castro;5;2025;2;February;2025-02
94;2025-08-07;23;145;2;2;4;1081.01;680;5;4107.84;2720;1387.84;Crema facial;Belleza;680;1081.01;Carlos Rojas;Huancayo;Premium;Tienda Lima Norte;Lima;Lima;Miguel Torres;2;2025;8;August;2025-08
95;2024-01-09;14;213;4;4;5;361.58;231;0;1807.9;1155;652.9;Jean;Moda;231;361.58;María Flores;Lima;Premium;Tienda Trujillo Real;Trujillo;La Libertad;Fernando Mendoza;4;2024;1;January;2024-01
96;2025-07-29;17;185;3;3;5;439.51;310;5;2087.67;1550;537.67;Pelota;Deportes;310;439.51;Lucía García;Cusco;Premium;Tienda Arequipa Mall;Arequipa;Arequipa;José Mendoza;3;2025;7;July;2025-07
97;2023-05-17;20;207;3;3;2;479.99;293;0;959.98;586;373.98;Tomatodo;Deportes;293;479.99;Alex Rojas;Huancayo;Premium;Tienda Arequipa Mall;Arequipa;Arequipa;José Mendoza;3;2023;5;May;2023-05
98;2024-02-20;9;167;3;3;3;316.86;233;0;950.58;699;251.58;Silla;Hogar;233;316.86;Valeria Flores;Trujillo;Frecuente;Tienda Arequipa Mall;Arequipa;Arequipa;José Mendoza;3;2024;2;February;2024-02
99;2023-10-19;7;299;1;6;3;522.78;346;15;1333.09;1038;295.09;Lámpara;Hogar;346;522.78;Camila Flores;Arequipa;Premium;Tienda Huancayo Centro;Huancayo;Junín;Patricia Torres;1;2023;10;October;2023-10
100;2024-07-10;21;10;3;3;4;382.02;244;5;1451.68;976;475.68;Bicicleta estática;Deportes;244;382.02;Camila Flores;Huancayo;Frecuente;Tienda Arequipa Mall;Arequipa;Arequipa;José Mendoza;3;2024;7;July;2024-07
101;2024-05-16;21;18;1;1;1;382.02;244;15;324.72;244;80.72;Bicicleta estática;Deportes;244;382.02;Jorge Mendoza;Lima;Premium;Tienda Huancayo Centro;Huancayo;Junín;José Torres;1;2024;5;May;2024-05
102;2024-11-30;3;239;3;13;4;212.75;123;0;851.0;492;359.0;Teclado;Tecnología;123;212.75;Camila Flores;Huancayo;Frecuente;Tienda Arequipa Mall;Arequipa;Arequipa;Andrea Ramírez;3;2024;11;November;2024-11
103;2024-10-28;25;241;4;4;5;978.48;682;0;4892.4;3410;1482.4;Plancha cabello;Belleza;682;978.48;Carlos Rojas;Lima;Nuevo;Tienda Trujillo Real;Trujillo;La Libertad;Fernando Mendoza;4;2024;10;October;2024-10
104;2023-11-12;16;468;1;1;4;142.24;105;10;512.06;420;92.06;Mochila;Moda;105;142.24;Valeria Mendoza;Arequipa;Nuevo;Tienda Huancayo Centro;Huancayo;Junín;José Torres;1;2023;11;November;2023-11
105;2025-02-17;15;432;1;6;4;74.85;55;0;299.4;220;79.4;Zapatillas;Moda;55;74.85;Alex Flores;Huancayo;Nuevo;Tienda Huancayo Centro;Huancayo;Junín;Patricia Torres;1;2025;2;February;2025-02
106;2023-12-09;21;68;4;14;3;382.02;244;15;974.15;732;242.15;Bicicleta estática;Deportes;244;382.02;Alex García;Trujillo;Nuevo;Tienda Trujillo Real;Trujillo;La Libertad;Rosa Flores;4;2023;12;December;2023-12
107;2025-07-30;7;440;3;13;4;522.78;346;5;1986.56;1384;602.56;Lámpara;Hogar;346;522.78;Camila Rojas;Cusco;Frecuente;Tienda Arequipa Mall;Arequipa;Arequipa;Andrea Ramírez;3;2025;7;July;2025-07
108;2025-04-13;24;480;2;2;1;405.54;306;0;405.54;306;99.54;Shampoo;Belleza;306;405.54;Valeria Ramírez;Huancayo;Premium;Tienda Lima Norte;Lima;Lima;Miguel Torres;2;2025;4;April;2025-04
109;2025-10-15;14;455;2;12;5;361.58;231;15;1536.71;1155;381.71;Jean;Moda;231;361.58;Camila García;Trujillo;Nuevo;Tienda Lima Norte;Lima;Lima;Rosa Ramírez;2;2025;10;October;2025-10
110;2025-06-12;9;68;3;3;4;316.86;233;15;1077.32;932;145.32;Silla;Hogar;233;316.86;Alex García;Trujillo;Nuevo;Tienda Arequipa Mall;Arequipa;Arequipa;José Mendoza;3;2025;6;June;2025-06
111;2025-03-23;12;400;3;8;3;181.86;114;5;518.3;342;176.3;Casaca;Moda;114;181.86;Camila Flores;Arequipa;Nuevo;Tienda Arequipa Mall;Arequipa;Arequipa;José García;3;2025;3;March;2025-03
112;2025-10-26;2;143;3;8;2;1150.48;670;0;2300.96;1340;960.96;Mouse;Tecnología;670;1150.48;Diego García;Arequipa;Nuevo;Tienda Arequipa Mall;Arequipa;Arequipa;José García;3;2025;10;October;2025-10
113;2025-08-18;3;464;1;11;1;212.75;123;0;212.75;123;89.75;Teclado;Tecnología;123;212.75;Alex Castro;Huancayo;Nuevo;Tienda Huancayo Centro;Huancayo;Junín;José Rojas;1;2025;8;August;2025-08
114;2025-12-11;1;163;4;4;2;242.37;174;0;484.74;348;136.74;Audífonos;Tecnología;174;242.37;Valeria Flores;Trujillo;Frecuente;Tienda Trujillo Real;Trujillo;La Libertad;Fernando Mendoza;4;2025;12;December;2025-12
